260	320	60	120
320	380	60	120
380	440	60	120
440	500	60	120
500	560	60	120
560	620	60	120
620	680	60	120
680	740	60	120
260	320	120	180
320	380	120	180
380	440	120	180
440	500	120	180
500	560	120	180
560	620	120	180
620	680	120	180
680	740	120	180
260	320	180	240
320	380	180	240
380	440	180	240
440	500	180	240
500	560	180	240
560	620	180	240
620	680	180	240
680	740	180	240
260	320	240	300
320	380	240	300
380	440	240	300
440	500	240	300
500	560	240	300
560	620	240	300
620	680	240	300
680	740	240	300
260	320	300	360
320	380	300	360
380	440	300	360
440	500	300	360
500	560	300	360
560	620	300	360
620	680	300	360
680	740	300	360
260	320	360	420
320	380	360	420
380	440	360	420
440	500	360	420
500	560	360	420
560	620	360	420
620	680	360	420
680	740	360	420
260	320	420	480
320	380	420	480
380	440	420	480
440	500	420	480
500	560	420	480
560	620	420	480
620	680	420	480
680	740	420	480
260	320	480	540
320	380	480	540
380	440	480	540
440	500	480	540
500	560	480	540
560	620	480	540
620	680	480	540
680	740	480	540
