290	90
350	90
410	90
470	90
530	90
590	90
650	90
710	90
290	150
350	150
410	150
470	150
530	150
590	150
650	150
710	150
290	210
350	210
410	210
470	210
530	210
590	210
650	210
710	210
290	270
350	270
410	270
470	270
530	270
590	270
650	270
710	270
290	330
350	330
410	330
470	330
530	330
590	330
650	330
710	330
290	390
350	390
410	390
470	390
530	390
590	390
650	390
710	390
290	450
350	450
410	450
470	450
530	450
590	450
650	450
710	450
290	510
350	510
410	510
470	510
530	510
590	510
650	510
710	510
